,found
131,864
198,80
156,1808
441,210
280,33
402,1501
132,1616
334,286
183,5
161,342
228,38
195,423
291,27
144,3436
113,846
116,234
225,518
235,72
234,1826
187,92
143,3
160,124
154,485
386,77
114,204
207,374
121,1822
171,74
312,1447
211,4
384,12
279,209
208,107
299,523
201,214
427,60
331,767
277,42
354,603
213,72
192,2260
276,330
248,1269
400,836
193,1066
166,1296
127,13
206,849
399,26
148,3017
169,1436
123,112
332,1990
134,407
260,213
227,138
262,1508
292,2218
128,782
163,3
242,59
252,20
176,12
110,3692
297,1
329,77
305,36
272,111
221,352
157,46
238,654
419,17
125,58
398,4
138,2
191,652
412,495
229,1211
232,12
421,1100
261,1161
403,1782
250,133
257,966
348,11
224,11
275,189
341,31
287,385
433,1195
251,1421
395,720
266,835
394,657
429,160
167,1439
360,248
449,1898
181,8
133,126
278,279
135,4
321,322
361,1773
137,720
448,2842
324,942
288,35
189,292
269,59
177,735
247,1125
296,3943
371,30
236,471
392,1112
345,157
230,174
378,2
282,20
295,2378
185,804
435,445
188,2809
286,1430
319,723
447,16
446,91
420,1340
107,197
309,323
325,271
218,186
430,14
240,4038
118,2
326,2
178,17
214,110
374,1
372,790
303,1149
424,313
108,1214
111,3538
346,2740
237,591
254,3
202,433
210,1261
339,1899
231,1846
376,2830
388,585
196,739
306,434
315,1593
328,5
314,1073
249,1217
168,21
406,3
246,109
255,17
327,1283
364,614
155,49
158,5
105,2709
270,4
318,6
182,2369
179,1
363,1776
239,1
106,1862
298,1101
175,772
335,234
407,37
243,275
359,39
264,107
308,1063
245,600
294,1169
186,1822
362,1277
153,2463
337,86
426,49
200,2833
256,226
347,79
409,1285
141,2791
122,1273
172,2858
126,1535
184,1639
313,1587
428,477
323,315
150,2793
190,2918
162,48
415,1512
216,32
149,1
212,13
117,984
129,2
