dzr_sng_id,valence,arousal,artist_name,track_name,sp_track_id,sp_acousticness,sp_danceability,sp_duration_ms,sp_energy,sp_instrumentalness,sp_key,sp_liveness,sp_loudness,sp_mode,sp_speechiness,sp_tempo,sp_time_sig,sp_valence
213754,-0.6827250804970001,0.316757791845,Dark Tranquillity,Insanity's Crescendo,4BnerzInwMXalx7XU4PtwA,0.00162,0.315,412000,0.795,0.196,6,0.0776,-9.645,0,0.0574,138.293,3,0.413
216752,-1.4004026756299999,1.5382289488299998,Anorexia Nervosa,Stabat mater dolorosa,5ZhJ8pwYYEtO15KbAcGflG,1.03e-05,0.171,440320,0.798,0.0295,11,0.0759,-5.548,0,0.0622,110.058,4,0.13
239138,-1.9352498567900003,-0.655809808621,Jimmy Witherspoon,Ain't Nobody's Business,6C1CzmmzItjqE6OD9yjI2k,0.924,0.579,360640,0.0972,0.00105,10,0.0766,-13.925,1,0.0477,78.526,4,0.354
254391,0.815392789182,0.662457175897,Uniting Nations,Out Of Touch,37a8EdVw7VpAlRG4oASxIm,0.00859,0.71,171747,0.963,0.0133,11,0.218,-4.787,0,0.0277,129.965,4,0.968
266313,1.2574603572799998,1.086515087,The Walkmen,Brandy alexander,03bN8iTVV9k2htGDVAjNPv,0.0827,0.491,148400,0.711,6.36e-05,10,0.246,-6.463,1,0.033,119.001,4,0.545
283306,0.37332522108000005,-0.9231506656209999,Duke Ellington,Caravan,1xdv6tmmDVa8hrmrkgtjPL,0.811,0.448,252867,0.656,0.393,5,0.0991,-7.993,0,0.0295,108.388,4,0.796
286183,1.3093077881100001,1.48291704738,Art Tatum,Tea For Two,0Otf1ZfYNIjhqFIuJk0fsy,0.991,0.358,193867,0.452,0.864,1,0.14,-13.02,1,0.0347,166.973,4,0.525
301623,1.0719011311700002,0.8468301807240001,Ella Fitzgerald,Lullaby Of Birdland,3RtJAYS51S5W6EMxrm9aMb,0.91,0.53,168773,0.27,0.0,5,0.312,-11.251,0,0.0365,110.844,4,0.515
327203,-1.05657234488,0.736206377828,cLOUDDEAD,Pop Song,NO TRACK FOUND ON SPOTIFY,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
327207,-1.04838590843,0.335195092328,cLOUDDEAD,Son Of A Gun,NO TRACK FOUND ON SPOTIFY,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
364962,1.5412568207600001,1.70416465317,Boney M,Rasputin,5jkFvD4UJrmdoezzT1FRoP,0.289,0.639,351573,0.893,0.00816,9,0.222,-6.509,1,0.036,126.143,4,0.966
365070,-0.981530010788,0.62097324981,Leona Lewis,Better in time,2iXBZ32Fz5VDCLeE0JIdX5,0.512,0.584,234173,0.7,2.43e-05,6,0.13,-4.251,1,0.0506,163.953,4,0.549
365073,0.00766439314399,0.7915182792759999,Leona Lewis,I Will Be,4gJxLdiZXkKiSbvpFHNu8n,0.132,0.406,238640,0.6,0.0,7,0.15,-4.157,1,0.0298,149.987,4,0.205
365137,-0.569752257537,0.0319014993861,Leona Lewis,Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,0.188,0.638,262467,0.656,0.0,5,0.146,-5.886,1,0.0357,104.036,4,0.225
365268,-1.70330082414,-0.6281538578970001,Mario,How Do I Breathe,174rZBKJAqD10VBnOjlQQ3,0.215,0.684,216893,0.455,1.08e-06,5,0.263,-8.216,1,0.0307,97.956,4,0.487
519036,-1.05657234488,0.736206377828,Great Lake Swimmers,The Man With No Skin,4YtVg22zJpwYWgWFpj5qH6,0.907,0.54,326667,0.206,1.17e-06,7,0.135,-14.58,1,0.0298,109.297,4,0.102
519039,0.449731961246,-2.0754819457900004,Great Lake Swimmers,I Will Never See the Sun,52VnbCW97efS5ycFHiw15f,0.753,0.418,215720,0.578,1.11e-06,9,0.244,-8.402,1,0.0287,137.359,3,0.64
519111,0.957291020918,0.390506993776,Great Lake Swimmers,Bodies and Minds,4MIDnbVdmaa5sIbdR5BBTN,0.96,0.435,319933,0.149,0.00185,4,0.172,-16.003,1,0.0299,86.055,3,0.114
519113,0.766274170504,-2.11235654676,Great Lake Swimmers,Falling Into the Sky,034rpRe4mwcRtPYheTkqyk,0.591,0.483,185467,0.303,0.00228,0,0.105,-14.678,1,0.0263,85.484,3,0.332
519117,0.13500896008500002,-1.50392563083,Great Lake Swimmers,Long Into The Evening,5Qj3n6oirNUX8yrQqpnjAk,0.899,0.397,344373,0.138,9.32e-05,4,0.111,-17.191,1,0.0312,102.234,4,0.0397
520083,-1.72786013348,-1.10752367045,MORS PRINCIPIUM EST,Fragile Flesh,4xB12pvKTnslr1C2AzQIxR,1.09e-06,0.474,240973,0.957,0.324,9,0.239,-5.492,0,0.097,122.495,3,0.301
530652,-0.780962317853,-0.789480237121,The Bad Plus,Smells Like Teen Spirit,6RoModa3txoHpxBtJMwnv2,0.349,0.384,357133,0.729,0.876,5,0.109,-9.379,0,0.0311,105.067,4,0.398
531834,-1.9352498567900003,-0.655809808621,Charley Pride,I Can't Believe That You've Stopped Loving Me,39LstBLnru2iAYgw0HOKMG,0.891,0.47,187573,0.352,0.0,4,0.137,-9.786,1,0.0258,100.516,4,0.571
531935,-1.05657234488,0.736206377828,Kris Kristofferson,Me and Bobby McGee,68p2wVoGWkDKGJtdsRZDP6,0.771,0.578,260027,0.293,6.93e-06,4,0.186,-13.89,1,0.0287,133.399,4,0.589
531937,-1.48226704009,-0.440707969658,Kris Kristofferson,Sunday Mornin' Comin' Down,4JwFrnLLSO4qqxOeHQATf4,0.474,0.515,270707,0.263,0.000138,9,0.111,-15.13,1,0.0383,78.904,4,0.519
531993,-1.74423300637,1.3354186435200002,Diamond Rio,You're Gone,5QqKrfVvO7lh2OEDaIMBQK,0.614,0.642,239267,0.538,2.14e-06,0,0.335,-5.412,1,0.0276,141.918,4,0.306
532345,-1.1711824551299999,-0.563623306207,Savage Garden,Gunning Down Romance,3uPljEZcPenOu8yuKzGKV3,0.000246,0.555,333027,0.52,0.00109,5,0.0826,-11.243,1,0.0351,121.964,4,0.0742
532439,-1.9352498567900003,-0.655809808621,Oasis,Don't Go Away,4cHVhBtewvwimCyZMEnkC2,0.0382,0.399,288667,0.831,9.62e-05,0,0.0721,-4.913,1,0.0368,81.095,4,0.178
532577,-1.70057201199,1.84244440679,Savage Garden,Break Me Shake Me,3buOItugju7mwOyL63aTbc,0.0172,0.757,203133,0.673,0.000828,0,0.114,-6.823,1,0.0279,110.136,4,0.661
532605,0.0158508295903,0.390506993776,Savage Garden,I Knew I Loved You,6nozDLxeL0TE4MS9GqYU1v,0.32,0.61,250360,0.497,6.11e-05,9,0.0884,-9.88,1,0.0279,85.031,4,0.739
532607,1.0719011311700002,0.8468301807240001,Savage Garden,Crash And Burn,60g4sp8i3gXSb1EkphMl1g,0.189,0.581,281467,0.607,1.6e-06,4,0.0882,-8.458,1,0.028,102.03,4,0.213
532609,1.2137993629000001,1.26781520842,Savage Garden,The Animal Song,5TuzQ44lPWTCKbfXbNIEXg,0.0639,0.652,278000,0.669,3.83e-06,6,0.0671,-7.663,1,0.037,116.088,4,0.834
532611,-0.7797928269329999,0.18045346327300002,Savage Garden,Two Beds And A Coffee Machine,1HNsBfrPoYUd6dZq7buF7J,0.905,0.49,205867,0.171,0.0,9,0.128,-15.25,1,0.0315,100.011,4,0.476
533010,-0.431674362809,0.0955101860516,Savage Garden,I Don't Care,2k3GckgKe5deqrjGaEEdVD,0.0972,0.661,305867,0.741,0.0251,10,0.335,-8.829,1,0.0398,120.005,4,0.186
533620,-1.4877246643900002,-0.36081300089699997,Rory Gallagher,Moonchild,400XN4PpJ4sFByiegnHFZi,0.0433,0.445,287297,0.94,0.00284,9,0.423,-10.656,0,0.0573,98.472,4,0.557
533990,0.815392789182,0.662457175897,Will Young,Love The One You're With,5oLsi3F0C26MGnXJcnzQyB,0.223,0.609,215093,0.893,0.0,0,0.323,-5.953,1,0.0753,94.994,4,0.624
534083,-1.5182873604499998,0.450428220345,Kelly Clarkson,Hear Me,7Egfyy8U2dj5458iDESXuz,0.00503,0.546,233667,0.841,4.8e-05,7,0.0971,-4.589,0,0.0374,99.325,3,0.175
534503,0.979121518109,0.588707973965,Sly & The Family Stone,Stand!,68DqLs1hv7zI08EBvu53wV,0.214,0.609,187533,0.788,2.44e-06,11,0.191,-9.726,1,0.0629,108.694,4,0.517
534506,1.5412568207600001,1.70416465317,Sly & The Family Stone,Somebody'S Watching You,5DCAUoDMRiBiezamBZX4yt,0.478,0.655,200333,0.526,0.00207,10,0.149,-12.954,1,0.0635,117.985,4,0.684
534508,1.11374291745,0.785372512445,Sly & The Family Stone,Everyday People,7lL2lMWNtzOcf5HnEudNgn,0.245,0.813,139507,0.619,0.0151,7,0.113,-8.203,1,0.0294,114.58,4,0.774
534574,1.1810536171200001,1.39073054497,Sly & The Family Stone,Dance To The Music,1MQWtVcs0PKsY4PA6ZvLiy,0.0168,0.703,179427,0.529,0.000573,7,0.911,-11.112,1,0.1,128.057,4,0.772
